date,title,company,url,pay,leverage,risk,mode,status,notes
2026-07-16,Rebuild Estimator,Independent Restoration,https://to.indeed.com/aas2l2jdkvxg,$50/hr contract,5,green,primary,queued,Discrete rebuild-scope tasks; deliverable estimates on own machine; contract = no managed device
2026-07-16,Civil Construction Estimator,LR Recruiting,https://to.indeed.com/aasf4pvsnybc,$150-175k,4,yellow,primary,queued,Strong pay; via recruiter - confirm permanently-remote before investing
2026-07-16,Construction Estimator,Otoe Missouria Group,https://to.indeed.com/aa48v7fh9ymr,$108-115k part-time,4,green,stack,queued,Part-time + remote = stackable; verify not govcon-flavored
2026-07-16,Senior Technical Writer,Starburst,https://to.indeed.com/aaht7hfkzd6v,$120-150k,5,green,primary,queued,Pure document deliverables at a software company; competitive field
2026-07-16,IT Support Manager - Internal Operations,Concert Golf Partners,https://to.indeed.com/aahvwnvkcjhq,$90-120k,4,green,primary,queued,Management + tech support; matches Indeed profile preferences
2026-07-16,Estimation and Sales Operations Manager,STRELLA Companies,https://to.indeed.com/aaqqmgbgmcwy,$75-100k,4,green,primary,queued,Estimating + ops; tops out at the $50/hr floor
2026-07-16,Turnover Operations Manager II,Rippling,https://to.indeed.com/aa4hfqmxgyzw,$99.7-120k,3,green,primary,queued,Ops role at SaaS company; some meeting load likely
2026-07-16,Business Operations Manager,NeuroFrontiers LLC,https://to.indeed.com/aapkhs69mm7g,$30-75/hr part-time,4,green,stack,queued,Part-time; below floor at low end but stacks
2026-07-16,Helpdesk Customer Support,Public Health Institute,https://to.indeed.com/aas6r9p9vzc4,$34.54-50.07/hr,4,yellow,stack,queued,Email/ticket support; verify no patient-data exposure before applying
2026-07-16,Technical Service Desk Analyst - PT,Unity (Las Cruces NM),https://to.indeed.com/aakyytd2pwtz,$41-75k part-time,4,yellow,stack,queued,PT remote service desk; confirm no VDI/managed-device requirement
2026-07-16,Product Knowledge Operations Manager,Momentus Technologies,https://to.indeed.com/aaby2qptnszm,$64-108k,4,yellow,primary,queued,Knowledge-base ops in their SaaS - draft-only tooling until AI policy known
2026-07-16,Senior Mechanical Construction Estimator - HVAC & Plumbing,Turner & Townsend,https://to.indeed.com/aargpmcyzzp8,$135-150k,5,yellow,primary,queued,Dead-center trade match at top pay; lists Landover MD office - verify fully-remote first
2026-07-16,CAD Draftsman,MASA Architectural Co.,https://to.indeed.com/aahcdxrb977g,$55-75k,5,green,stack,queued,Fully remote; pure drawing deliverables; below floor so stack only
2026-07-16,Senior CAD Drafter Land Surveying,Exacta Land Surveyors,https://to.indeed.com/aa7pmhwjc6db,$57-77k,5,yellow,stack,queued,Survey drafting is highly toolable; lists Sarasota FL - verify remote
2026-07-16,Electrical Designer,ENTRUST Solutions Group,https://to.indeed.com/aazl88gllxmy,$64-97k,4,yellow,stack,queued,Utility design services; lists Tallahassee FL - verify remote and no client-VDI requirement
